Index,log_hotel_kern,log_parking_ke,log_food_kerne,log_office_ker,log_retail_ker,DNI_HK,HKG_wind_s,tsd_mask,log_area,No_of_Stor,Year_Built,retro_before,retro_after,log_mtr_dist,is_commercial,kWh_m2_ann
88,0,2.155153785,2.430557147,2.990465843,3.121947042,2.303,2.2985101,1.9742399,1.908485019,13,1991,0,0,2.631612655,1,16.47
89,0,2.109801201,1.9259893,2.315115607,2.99871999,2.3099999,2.4739699,1.9742399,2.472756449,10,1967,0,0,2.46381885,0,10.88
90,0,1.573295245,3.513481291,2.734883005,3.678127608,2.247,1.91693,1.94756,3.012415375,32,1984,0,1,2.404405595,1,191.77
91,0,1.636098562,2.757256287,2.900889057,2.694013444,2.3050001,2.82757,1.9742399,2.152288344,14,1995,0,0,1.965209183,0,34.31
92,2.27690046,0,3.109139627,2.817042859,2.82528068,2.312,2.82757,1.9742399,1.84509804,13,1990,0,0,1.745279603,1,35.84
93,2.142592816,0,3.137825499,2.96076371,2.846630858,2.312,2.82757,1.9742399,2.1430148,14,1990,0,0,1.391633237,1,36.13
94,0,1.105145558,0,0,0,2.3139999,2.1875999,1.9742399,2.523746467,15,1988,0,1,2.633958407,1,116.2
95,0,1.963709919,3.432353456,3.297158427,3.527991884,2.273,2.3973601,1.94756,3.981501488,18,1996,1,0,3.027141229,0,106.83
96,0,1.891390826,2.931843172,3.133925118,2.896371318,2.3050001,2.90558,1.9742399,2.320146286,15,1980,1,0,2.173676454,0,30.48
97,0,1.402722096,2.746635767,2.792138728,2.763704951,2.3050001,2.90558,1.9742399,2.733197265,13,1983,0,1,2.253827385,0,103.59
98,0,1.867310133,2.897036821,3.046565416,2.908845172,2.3050001,2.90558,1.9742399,1.963787827,14,1982,0,0,2.207479778,1,37.52
99,0,0.856345769,2.887283016,2.256599886,3.145938771,2.316,2.29159,1.7608,3.371621927,18,1989,0,1,2.526024704,1,26.49
100,0,1.972948082,2.956371585,0,2.666853875,2.312,2.3457501,1.9742399,2.521138084,15,1976,0,0,2.221465448,1,14.18
101,2.186142311,0,3.091586076,2.85766051,2.867068941,2.312,2.82757,1.9742399,2.414973348,20,1940,0,0,1.459775144,0,35.69
102,0,1.891390826,2.931843172,3.133925118,2.896371318,2.3050001,2.90558,1.9742399,2.123851641,23,1994,0,0,2.137211768,1,29.79
103,0,2.529235219,2.324952941,2.270527441,2.658250915,2.3,2.3457501,1.9742399,2.344392274,15,1981,0,0,2.360846306,0,13.57
104,0,1.372024101,2.063021684,2.436993868,2.288307361,2.2550001,2.59676,1.9742399,3.382377303,39,2003,1,0,2.963900571,0,74.75
105,0,1.716552543,3.097989191,3.020845882,2.904897757,2.3050001,2.90558,1.9742399,2.621176282,12,1984,0,0,2.203466949,0,91.58
106,0,1.790081699,2.885252071,3.115763556,2.801376281,2.3050001,2.82757,1.9742399,2.056904851,15,1981,0,0,2.107709215,0,56.46
107,0,0.687587823,2.942183723,2.60525762,2.873944546,2.3050001,2.82757,1.9742399,2.556302501,14,1983,0,0,1.959900516,0,19.23
108,0,0,2.225931834,1.545875903,3.142967924,2.3080001,2.3457501,1.9742399,2.487138375,16,1995,0,1,2.462284381,1,37.97
109,1.908021509,0,2.222039811,1.981485177,2.716135299,2.313,2.1875999,1.9742399,2.278753601,14,1974,0,0,2.459342213,0,39.09
110,1.908021509,0,2.222039811,1.981485177,2.716135299,2.313,2.1875999,1.9742399,2.235528447,14,1974,0,1,2.475122897,0,28.66
111,2.6209518,0,2.665473117,3.179755667,3.270518143,2.316,2.5198801,2.00091,2.691081492,18,1977,0,0,2.244774519,0,125.77
112,0,2.110020382,2.789241451,3.047862621,2.360070569,2.276,2.4811399,1.94756,3.313234292,35,2009,0,1,2.929168121,0,62.02
113,2.232317476,2.247781833,2.017705154,2.853723159,2.964323749,2.316,2.2980399,2.00091,2.238046103,8,1966,0,0,2.512440272,1,40.68
114,2.413923106,2.256041491,3.112108771,2.959228446,2.703537275,2.316,2.66429,2.00091,2.385606274,19,1997,0,0,2.33424592,1,147.06
115,0,1.984502557,2.491504553,3.150916016,2.205475037,2.2709999,2.1086199,1.94756,3.422753941,20,1992,0,1,2.576052605,1,79.8
